ایستگاه,تاریخ,SO2 ppb
مسعودیه.منطقه15,1397/10/11,2
مسعودیه.منطقه15,1397/10/12,3
مسعودیه.منطقه15,1397/10/13,3
مسعودیه.منطقه15,1397/10/14,3
مسعودیه.منطقه15,1397/10/15,3
مسعودیه.منطقه15,1397/10/16,3
مسعودیه.منطقه15,1397/10/17,3
مسعودیه.منطقه15,1397/10/18,3
مسعودیه.منطقه15,1397/10/19,3
مسعودیه.منطقه15,1397/10/20,3
مسعودیه.منطقه15,1397/10/21,3
مسعودیه.منطقه15,1397/10/22,3
مسعودیه.منطقه15,1397/10/23,5
مسعودیه.منطقه15,1397/10/24,4
مسعودیه.منطقه15,1397/10/25,4
مسعودیه.منطقه15,1397/10/26,3
مسعودیه.منطقه15,1397/10/27,3
مسعودیه.منطقه15,1397/10/28,2
مسعودیه.منطقه15,1397/10/29,3
مسعودیه.منطقه15,1397/10/30,4
مسعودیه.منطقه15,1397/11/01,4
مسعودیه.منطقه15,1397/11/02,4
مسعودیه.منطقه15,1397/11/03,4
مسعودیه.منطقه15,1397/11/04,4
مسعودیه.منطقه15,1397/11/05,4
مسعودیه.منطقه15,1397/11/06,4
مسعودیه.منطقه15,1397/11/07,4
مسعودیه.منطقه15,1397/11/08,3
مسعودیه.منطقه15,1397/11/09,3
مسعودیه.منطقه15,1397/11/10,3
مسعودیه.منطقه15,1397/11/11,3
مسعودیه.منطقه15,1397/11/12,3
مسعودیه.منطقه15,1397/11/13,4
مسعودیه.منطقه15,1397/11/14,3
مسعودیه.منطقه15,1397/11/15,3
مسعودیه.منطقه15,1397/11/16,3
مسعودیه.منطقه15,1397/11/17,3
مسعودیه.منطقه15,1397/11/18,4
مسعودیه.منطقه15,1397/11/19,5
مسعودیه.منطقه15,1397/11/20,4
مسعودیه.منطقه15,1397/11/21,3
مسعودیه.منطقه15,1397/11/22,3
مسعودیه.منطقه15,1397/11/23,3
مسعودیه.منطقه15,1397/11/24,3
مسعودیه.منطقه15,1397/11/25,4
مسعودیه.منطقه15,1397/11/26,3
مسعودیه.منطقه15,1397/11/27,3
مسعودیه.منطقه15,1397/11/28,3
مسعودیه.منطقه15,1397/11/29,4
مسعودیه.منطقه15,1397/11/30,4
مسعودیه.منطقه15,1397/12/01,4
مسعودیه.منطقه15,1397/12/02,3
مسعودیه.منطقه15,1397/12/03,4
مسعودیه.منطقه15,1397/12/04,4
مسعودیه.منطقه15,1397/12/05,4
مسعودیه.منطقه15,1397/12/06,5
مسعودیه.منطقه15,1397/12/07,4
مسعودیه.منطقه15,1397/12/08,4
مسعودیه.منطقه15,1397/12/09,4
مسعودیه.منطقه15,1397/12/10,3
مسعودیه.منطقه15,1397/12/11,3
مسعودیه.منطقه15,1397/12/12,4
مسعودیه.منطقه15,1397/12/13,4
مسعودیه.منطقه15,1397/12/14,4
مسعودیه.منطقه15,1397/12/15,4
مسعودیه.منطقه15,1397/12/16,4
مسعودیه.منطقه15,1397/12/17,3
مسعودیه.منطقه15,1397/12/18,3
مسعودیه.منطقه15,1397/12/19,4
مسعودیه.منطقه15,1397/12/20,4
مسعودیه.منطقه15,1397/12/21,5
مسعودیه.منطقه15,1397/12/22,2
مسعودیه.منطقه15,1397/12/23,3
مسعودیه.منطقه15,1397/12/24,2
مسعودیه.منطقه15,1397/12/25,2
مسعودیه.منطقه15,1397/12/26,3
مسعودیه.منطقه15,1397/12/27,1
مسعودیه.منطقه15,1397/12/28,2
مسعودیه.منطقه15,1397/12/29,2
مسعودیه.منطقه15,1398/01/01,1
مسعودیه.منطقه15,1398/01/02,2
مسعودیه.منطقه15,1398/01/03,1
مسعودیه.منطقه15,1398/01/04,1
مسعودیه.منطقه15,1398/01/05,2
مسعودیه.منطقه15,1398/01/06,2
مسعودیه.منطقه15,1398/01/07,2
مسعودیه.منطقه15,1398/01/08,2
مسعودیه.منطقه15,1398/01/09,1
مسعودیه.منطقه15,1398/01/10,2
مسعودیه.منطقه15,1398/01/11,2
