ایستگاه,تاریخ,SO2 ppb
پیروزی.منطقه13,1397/10/11,6
پیروزی.منطقه13,1397/10/12,10
پیروزی.منطقه13,1397/10/13,5
پیروزی.منطقه13,1397/10/14,4
پیروزی.منطقه13,1397/10/15,7
پیروزی.منطقه13,1397/10/16,7
پیروزی.منطقه13,1397/10/17,8
پیروزی.منطقه13,1397/10/18,6
پیروزی.منطقه13,1397/10/19,5
پیروزی.منطقه13,1397/10/20,4
پیروزی.منطقه13,1397/10/21,7
پیروزی.منطقه13,1397/10/22,7
پیروزی.منطقه13,1397/10/23,12
پیروزی.منطقه13,1397/10/24,8
پیروزی.منطقه13,1397/10/25,6
پیروزی.منطقه13,1397/10/26,5
پیروزی.منطقه13,1397/10/27,3
پیروزی.منطقه13,1397/10/28,2
پیروزی.منطقه13,1397/10/29,5
پیروزی.منطقه13,1397/10/30,10
پیروزی.منطقه13,1397/11/01,9
پیروزی.منطقه13,1397/11/02,8
پیروزی.منطقه13,1397/11/03,8
پیروزی.منطقه13,1397/11/04,10
پیروزی.منطقه13,1397/11/05,7
پیروزی.منطقه13,1397/11/06,7
پیروزی.منطقه13,1397/11/07,7
پیروزی.منطقه13,1397/11/08,4
پیروزی.منطقه13,1397/11/09,2
پیروزی.منطقه13,1397/11/10,5
پیروزی.منطقه13,1397/11/11,6
پیروزی.منطقه13,1397/11/12,5
پیروزی.منطقه13,1397/11/13,5
پیروزی.منطقه13,1397/11/14,3
پیروزی.منطقه13,1397/11/15,5
پیروزی.منطقه13,1397/11/16,5
پیروزی.منطقه13,1397/11/17,7
پیروزی.منطقه13,1397/11/18,11
پیروزی.منطقه13,1397/11/19,12
پیروزی.منطقه13,1397/11/20,7
پیروزی.منطقه13,1397/11/21,5
پیروزی.منطقه13,1397/11/22,3
پیروزی.منطقه13,1397/11/23,4
پیروزی.منطقه13,1397/11/24,9
پیروزی.منطقه13,1397/11/25,7
پیروزی.منطقه13,1397/11/26,5
پیروزی.منطقه13,1397/11/27,3
پیروزی.منطقه13,1397/11/28,3
پیروزی.منطقه13,1397/11/29,4
پیروزی.منطقه13,1397/11/30,5
پیروزی.منطقه13,1397/12/01,7
