ایستگاه,تاریخ,SO2 ppb
پونک,1397/10/11,3
پونک,1397/10/12,5
پونک,1397/10/13,3
پونک,1397/10/14,2
پونک,1397/10/15,6
پونک,1397/10/16,10
پونک,1397/10/17,6
پونک,1397/10/18,4
پونک,1397/10/19,5
پونک,1397/10/20,3
پونک,1397/10/21,5
پونک,1397/10/22,7
پونک,1397/10/23,6
پونک,1397/10/24,4
پونک,1397/10/25,3
پونک,1397/10/26,5
پونک,1397/10/27,2
پونک,1397/10/28,2
پونک,1397/10/29,3
پونک,1397/10/30,5
پونک,1397/11/01,7
پونک,1397/11/02,5
پونک,1397/11/03,8
پونک,1397/11/04,8
پونک,1397/11/05,5
پونک,1397/11/06,3
پونک,1397/11/07,7
پونک,1397/11/08,2
پونک,1397/11/09,2
پونک,1397/11/10,3
پونک,1397/11/11,3
پونک,1397/11/12,2
پونک,1397/11/13,2
پونک,1397/11/14,2
پونک,1397/11/15,2
پونک,1397/11/16,4
پونک,1397/11/17,4
پونک,1397/11/18,7
پونک,1397/11/19,8
پونک,1397/11/20,8
پونک,1397/11/21,2
پونک,1397/11/22,2
پونک,1397/11/23,2
پونک,1397/11/24,3
پونک,1397/11/25,9
پونک,1397/11/26,7
پونک,1397/11/27,2
پونک,1397/11/28,2
پونک,1397/11/29,3
پونک,1397/11/30,4
پونک,1397/12/01,3
پونک,1397/12/02,6
پونک,1397/12/03,6
پونک,1397/12/04,3
پونک,1397/12/05,3
پونک,1397/12/06,3
پونک,1397/12/07,9
پونک,1397/12/08,4
پونک,1397/12/09,3
پونک,1397/12/10,2
پونک,1397/12/11,3
پونک,1397/12/12,4
پونک,1397/12/13,5
پونک,1397/12/14,4
پونک,1397/12/15,6
پونک,1397/12/16,3
پونک,1397/12/17,2
پونک,1397/12/18,3
پونک,1397/12/19,7
پونک,1397/12/20,8
پونک,1397/12/21,6
پونک,1397/12/22,6
پونک,1397/12/23,4
پونک,1397/12/24,2
پونک,1397/12/25,2
پونک,1397/12/26,2
پونک,1397/12/27,2
پونک,1397/12/28,2
پونک,1397/12/29,2
پونک,1398/01/01,2
پونک,1398/01/02,2
پونک,1398/01/03,3
پونک,1398/01/04,2
پونک,1398/01/05,1
پونک,1398/01/06,2
پونک,1398/01/07,2
پونک,1398/01/08,2
پونک,1398/01/09,1
پونک,1398/01/10,2
پونک,1398/01/11,2
پونک,1398/01/12,1
پونک,1398/01/13,1
پونک,1398/01/14,1
پونک,1398/01/15,2
پونک,1398/01/16,2
پونک,1398/01/17,3
پونک,1398/01/18,2
پونک,1398/01/19,2
پونک,1398/01/20,2
پونک,1398/01/21,2
پونک,1398/01/22,2
پونک,1398/01/23,2
پونک,1398/01/24,2
پونک,1398/01/25,2
پونک,1398/01/26,3
پونک,1398/01/27,6
پونک,1398/01/28,3
پونک,1398/01/29,3
پونک,1398/01/30,2
پونک,1398/01/31,2
پونک,1398/02/01,2
پونک,1398/02/02,2
پونک,1398/02/03,2
پونک,1398/02/04,4
پونک,1398/02/05,4
پونک,1398/02/06,3
پونک,1398/02/07,2
پونک,1398/02/08,3
پونک,1398/02/09,3
پونک,1398/02/10,2
پونک,1398/02/11,3
پونک,1398/02/12,2
پونک,1398/02/13,2
پونک,1398/02/14,2
پونک,1398/02/15,2
پونک,1398/02/16,2
پونک,1398/02/17,2
پونک,1398/02/18,2
پونک,1398/02/19,2
پونک,1398/02/20,1
پونک,1398/02/21,2
پونک,1398/02/22,2
پونک,1398/02/23,2
پونک,1398/02/24,3
پونک,1398/02/25,3
پونک,1398/02/26,2
پونک,1398/02/27,3
پونک,1398/02/28,2
پونک,1398/02/29,3
پونک,1398/02/30,2
پونک,1398/02/31,3
پونک,1398/03/01,2
پونک,1398/03/02,4
پونک,1398/03/03,3
پونک,1398/03/04,3
پونک,1398/03/05,2
پونک,1398/03/06,2
پونک,1398/03/07,2
پونک,1398/03/08,3
پونک,1398/03/09,2
پونک,1398/03/10,2
پونک,1398/03/11,2
پونک,1398/03/12,3
پونک,1398/03/13,3
پونک,1398/03/14,3
پونک,1398/03/15,2
پونک,1398/03/16,2
پونک,1398/03/17,2
پونک,1398/03/18,2
پونک,1398/03/19,2
پونک,1398/03/20,3
پونک,1398/03/21,4
پونک,1398/03/22,4
پونک,1398/03/23,2
پونک,1398/03/24,2
پونک,1398/03/25,2
پونک,1398/03/26,3
پونک,1398/03/27,2
پونک,1398/03/28,2
پونک,1398/03/29,3
پونک,1398/03/30,2
پونک,1398/03/31,2
پونک,1398/04/01,3
پونک,1398/04/02,3
پونک,1398/04/03,2
پونک,1398/04/04,2
پونک,1398/04/05,3
پونک,1398/04/06,2
پونک,1398/04/07,2
پونک,1398/04/08,3
پونک,1398/04/09,4
پونک,1398/04/10,4
پونک,1398/04/11,3
پونک,1398/04/12,4
پونک,1398/04/13,4
پونک,1398/04/14,3
پونک,1398/04/15,3
پونک,1398/04/16,3
پونک,1398/04/17,4
پونک,1398/04/18,3
پونک,1398/04/19,3
پونک,1398/04/20,4
پونک,1398/04/21,3
پونک,1398/04/22,3
پونک,1398/04/23,3
پونک,1398/04/24,3
پونک,1398/04/25,2
پونک,1398/04/26,2
پونک,1398/04/27,3
پونک,1398/04/28,3
پونک,1398/04/29,4
پونک,1398/04/30,4
پونک,1398/04/31,2
پونک,1398/05/01,3
پونک,1398/05/02,5
پونک,1398/05/03,4
پونک,1398/05/04,5
پونک,1398/05/05,5
پونک,1398/05/06,3
پونک,1398/05/07,3
پونک,1398/05/08,3
پونک,1398/05/09,4
پونک,1398/05/10,4
پونک,1398/05/11,2
پونک,1398/05/12,3
پونک,1398/05/13,3
پونک,1398/05/14,3
پونک,1398/05/15,3
پونک,1398/05/16,3
پونک,1398/05/17,3
