ایستگاه,تاریخ,SO2 ppb
ستاد.بحران.منطقه7,1397/10/11,3
ستاد.بحران.منطقه7,1397/10/12,7
ستاد.بحران.منطقه7,1397/10/13,4
ستاد.بحران.منطقه7,1397/10/14,3
ستاد.بحران.منطقه7,1397/10/15,6
ستاد.بحران.منطقه7,1397/10/16,7
ستاد.بحران.منطقه7,1397/10/17,6
ستاد.بحران.منطقه7,1397/10/18,5
ستاد.بحران.منطقه7,1397/10/19,4
ستاد.بحران.منطقه7,1397/10/20,3
ستاد.بحران.منطقه7,1397/10/21,6
ستاد.بحران.منطقه7,1397/10/22,6
ستاد.بحران.منطقه7,1397/10/23,7
ستاد.بحران.منطقه7,1397/10/24,5
ستاد.بحران.منطقه7,1397/10/25,6
ستاد.بحران.منطقه7,1397/10/26,5
ستاد.بحران.منطقه7,1397/10/27,3
ستاد.بحران.منطقه7,1397/10/28,3
ستاد.بحران.منطقه7,1397/10/29,3
ستاد.بحران.منطقه7,1397/10/30,6
ستاد.بحران.منطقه7,1397/11/01,7
ستاد.بحران.منطقه7,1397/11/02,6
ستاد.بحران.منطقه7,1397/11/03,6
ستاد.بحران.منطقه7,1397/11/04,6
ستاد.بحران.منطقه7,1397/11/05,4
ستاد.بحران.منطقه7,1397/11/06,4
ستاد.بحران.منطقه7,1397/11/07,5
ستاد.بحران.منطقه7,1397/11/08,4
ستاد.بحران.منطقه7,1397/11/09,3
ستاد.بحران.منطقه7,1397/11/10,3
ستاد.بحران.منطقه7,1397/11/11,3
ستاد.بحران.منطقه7,1397/11/12,3
ستاد.بحران.منطقه7,1397/11/13,3
ستاد.بحران.منطقه7,1397/11/14,3
ستاد.بحران.منطقه7,1397/11/15,3
ستاد.بحران.منطقه7,1397/11/16,5
ستاد.بحران.منطقه7,1397/11/17,5
ستاد.بحران.منطقه7,1397/11/18,7
ستاد.بحران.منطقه7,1397/11/19,9
ستاد.بحران.منطقه7,1397/11/20,6
ستاد.بحران.منطقه7,1397/11/21,4
ستاد.بحران.منطقه7,1397/11/22,3
ستاد.بحران.منطقه7,1397/11/23,3
ستاد.بحران.منطقه7,1397/11/24,6
ستاد.بحران.منطقه7,1397/11/25,7
ستاد.بحران.منطقه7,1397/11/26,6
ستاد.بحران.منطقه7,1397/11/27,3
ستاد.بحران.منطقه7,1397/11/28,3
ستاد.بحران.منطقه7,1397/11/29,3
ستاد.بحران.منطقه7,1397/11/30,4
ستاد.بحران.منطقه7,1397/12/01,4
ستاد.بحران.منطقه7,1397/12/02,5
ستاد.بحران.منطقه7,1397/12/03,4
ستاد.بحران.منطقه7,1397/12/04,4
ستاد.بحران.منطقه7,1397/12/05,6
ستاد.بحران.منطقه7,1397/12/06,4
ستاد.بحران.منطقه7,1397/12/07,8
ستاد.بحران.منطقه7,1397/12/08,4
ستاد.بحران.منطقه7,1397/12/09,3
ستاد.بحران.منطقه7,1397/12/10,3
ستاد.بحران.منطقه7,1397/12/11,4
ستاد.بحران.منطقه7,1397/12/12,4
ستاد.بحران.منطقه7,1397/12/13,6
ستاد.بحران.منطقه7,1397/12/14,3
ستاد.بحران.منطقه7,1397/12/15,5
ستاد.بحران.منطقه7,1397/12/16,4
ستاد.بحران.منطقه7,1397/12/17,3
ستاد.بحران.منطقه7,1397/12/18,3
ستاد.بحران.منطقه7,1397/12/19,7
ستاد.بحران.منطقه7,1397/12/20,9
ستاد.بحران.منطقه7,1397/12/21,6
ستاد.بحران.منطقه7,1397/12/22,8
ستاد.بحران.منطقه7,1397/12/23,7
ستاد.بحران.منطقه7,1397/12/24,3
ستاد.بحران.منطقه7,1397/12/25,3
ستاد.بحران.منطقه7,1397/12/26,3
ستاد.بحران.منطقه7,1397/12/27,3
ستاد.بحران.منطقه7,1397/12/28,3
ستاد.بحران.منطقه7,1397/12/29,5
ستاد.بحران.منطقه7,1398/01/01,3
ستاد.بحران.منطقه7,1398/01/02,3
ستاد.بحران.منطقه7,1398/01/03,4
ستاد.بحران.منطقه7,1398/01/04,3
ستاد.بحران.منطقه7,1398/01/05,3
ستاد.بحران.منطقه7,1398/01/06,3
ستاد.بحران.منطقه7,1398/01/07,2
ستاد.بحران.منطقه7,1398/01/08,3
ستاد.بحران.منطقه7,1398/01/09,2
ستاد.بحران.منطقه7,1398/01/10,3
ستاد.بحران.منطقه7,1398/01/11,3
ستاد.بحران.منطقه7,1398/01/12,2
ستاد.بحران.منطقه7,1398/01/13,3
ستاد.بحران.منطقه7,1398/01/14,3
ستاد.بحران.منطقه7,1398/01/15,3
ستاد.بحران.منطقه7,1398/01/16,4
ستاد.بحران.منطقه7,1398/01/17,3
ستاد.بحران.منطقه7,1398/01/18,3
ستاد.بحران.منطقه7,1398/01/19,3
ستاد.بحران.منطقه7,1398/01/20,3
ستاد.بحران.منطقه7,1398/01/21,3
ستاد.بحران.منطقه7,1398/01/22,3
ستاد.بحران.منطقه7,1398/01/23,3
ستاد.بحران.منطقه7,1398/01/24,3
ستاد.بحران.منطقه7,1398/01/25,3
ستاد.بحران.منطقه7,1398/01/26,3
ستاد.بحران.منطقه7,1398/01/27,6
ستاد.بحران.منطقه7,1398/01/28,4
ستاد.بحران.منطقه7,1398/01/29,4
ستاد.بحران.منطقه7,1398/01/30,3
ستاد.بحران.منطقه7,1398/01/31,3
ستاد.بحران.منطقه7,1398/02/01,3
ستاد.بحران.منطقه7,1398/02/02,4
ستاد.بحران.منطقه7,1398/02/03,4
ستاد.بحران.منطقه7,1398/02/04,3
ستاد.بحران.منطقه7,1398/02/05,4
ستاد.بحران.منطقه7,1398/02/06,3
ستاد.بحران.منطقه7,1398/02/07,4
ستاد.بحران.منطقه7,1398/02/08,4
ستاد.بحران.منطقه7,1398/02/09,5
ستاد.بحران.منطقه7,1398/02/10,3
ستاد.بحران.منطقه7,1398/02/11,4
ستاد.بحران.منطقه7,1398/02/12,4
ستاد.بحران.منطقه7,1398/02/13,3
ستاد.بحران.منطقه7,1398/02/14,3
ستاد.بحران.منطقه7,1398/02/15,3
ستاد.بحران.منطقه7,1398/02/16,3
ستاد.بحران.منطقه7,1398/02/17,3
ستاد.بحران.منطقه7,1398/02/18,3
ستاد.بحران.منطقه7,1398/02/19,3
ستاد.بحران.منطقه7,1398/02/20,3
ستاد.بحران.منطقه7,1398/02/21,3
ستاد.بحران.منطقه7,1398/02/22,3
ستاد.بحران.منطقه7,1398/02/23,3
ستاد.بحران.منطقه7,1398/02/24,3
