ایستگاه,تاریخ,SO2 ppb
شادآباد.منطقه18,1397/10/11,7
شادآباد.منطقه18,1397/10/12,14
شادآباد.منطقه18,1397/10/13,7
شادآباد.منطقه18,1397/10/14,6
شادآباد.منطقه18,1397/10/15,13
شادآباد.منطقه18,1397/10/16,10
شادآباد.منطقه18,1397/10/17,6
شادآباد.منطقه18,1397/10/18,6
شادآباد.منطقه18,1397/10/19,9
شادآباد.منطقه18,1397/10/20,4
شادآباد.منطقه18,1397/10/21,7
شادآباد.منطقه18,1397/10/22,10
شادآباد.منطقه18,1397/10/23,16
شادآباد.منطقه18,1397/10/24,13
شادآباد.منطقه18,1397/10/25,8
شادآباد.منطقه18,1397/10/26,10
شادآباد.منطقه18,1397/10/27,5
شادآباد.منطقه18,1397/10/28,4
شادآباد.منطقه18,1397/10/29,8
شادآباد.منطقه18,1397/10/30,12
شادآباد.منطقه18,1397/11/01,16
شادآباد.منطقه18,1397/11/02,14
شادآباد.منطقه18,1397/11/03,15
شادآباد.منطقه18,1397/11/04,9
شادآباد.منطقه18,1397/11/05,6
شادآباد.منطقه18,1397/11/06,8
شادآباد.منطقه18,1397/11/07,13
شادآباد.منطقه18,1397/11/08,8
شادآباد.منطقه18,1397/11/09,5
شادآباد.منطقه18,1397/11/10,8
شادآباد.منطقه18,1397/11/11,10
شادآباد.منطقه18,1397/11/12,7
شادآباد.منطقه18,1397/11/13,10
شادآباد.منطقه18,1397/11/14,8
شادآباد.منطقه18,1397/11/15,7
شادآباد.منطقه18,1397/11/16,12
شادآباد.منطقه18,1397/11/17,15
شادآباد.منطقه18,1397/11/18,22
شادآباد.منطقه18,1397/11/19,19
شادآباد.منطقه18,1397/11/20,19
شادآباد.منطقه18,1397/11/21,12
شادآباد.منطقه18,1397/11/22,7
شادآباد.منطقه18,1397/11/23,7
شادآباد.منطقه18,1397/11/24,12
شادآباد.منطقه18,1397/11/25,19
شادآباد.منطقه18,1397/11/26,14
شادآباد.منطقه18,1397/11/27,7
شادآباد.منطقه18,1397/11/28,4
شادآباد.منطقه18,1397/11/29,4
شادآباد.منطقه18,1397/11/30,5
شادآباد.منطقه18,1397/12/01,5
شادآباد.منطقه18,1397/12/02,9
شادآباد.منطقه18,1397/12/03,5
شادآباد.منطقه18,1397/12/04,5
شادآباد.منطقه18,1397/12/05,5
شادآباد.منطقه18,1397/12/06,5
شادآباد.منطقه18,1397/12/07,12
شادآباد.منطقه18,1397/12/08,8
شادآباد.منطقه18,1397/12/09,
شادآباد.منطقه18,1397/12/10,
شادآباد.منطقه18,1397/12/11,
شادآباد.منطقه18,1397/12/12,
شادآباد.منطقه18,1397/12/13,12
شادآباد.منطقه18,1397/12/14,11
شادآباد.منطقه18,1397/12/15,16
شادآباد.منطقه18,1397/12/16,11
شادآباد.منطقه18,1397/12/17,11
شادآباد.منطقه18,1397/12/18,13
شادآباد.منطقه18,1397/12/19,24
شادآباد.منطقه18,1397/12/20,10
شادآباد.منطقه18,1397/12/21,12
شادآباد.منطقه18,1397/12/22,13
شادآباد.منطقه18,1397/12/23,11
شادآباد.منطقه18,1397/12/24,4
شادآباد.منطقه18,1397/12/25,7
شادآباد.منطقه18,1397/12/26,10
شادآباد.منطقه18,1397/12/27,5
شادآباد.منطقه18,1397/12/28,7
شادآباد.منطقه18,1397/12/29,6
شادآباد.منطقه18,1398/01/01,8
شادآباد.منطقه18,1398/01/02,5
شادآباد.منطقه18,1398/01/03,12
شادآباد.منطقه18,1398/01/04,5
شادآباد.منطقه18,1398/01/05,3
شادآباد.منطقه18,1398/01/06,5
شادآباد.منطقه18,1398/01/07,5
شادآباد.منطقه18,1398/01/08,4
شادآباد.منطقه18,1398/01/09,4
شادآباد.منطقه18,1398/01/10,5
شادآباد.منطقه18,1398/01/11,6
شادآباد.منطقه18,1398/01/12,5
شادآباد.منطقه18,1398/01/13,4
شادآباد.منطقه18,1398/01/14,6
شادآباد.منطقه18,1398/01/15,7
شادآباد.منطقه18,1398/01/16,8
شادآباد.منطقه18,1398/01/17,7
شادآباد.منطقه18,1398/01/18,9
شادآباد.منطقه18,1398/01/19,9
شادآباد.منطقه18,1398/01/20,8
شادآباد.منطقه18,1398/01/21,8
شادآباد.منطقه18,1398/01/22,4
شادآباد.منطقه18,1398/01/23,3
شادآباد.منطقه18,1398/01/24,3
شادآباد.منطقه18,1398/01/25,3
شادآباد.منطقه18,1398/01/26,6
شادآباد.منطقه18,1398/01/27,7
شادآباد.منطقه18,1398/01/28,6
شادآباد.منطقه18,1398/01/29,5
شادآباد.منطقه18,1398/01/30,2
شادآباد.منطقه18,1398/01/31,3
شادآباد.منطقه18,1398/02/01,3
شادآباد.منطقه18,1398/02/02,5
شادآباد.منطقه18,1398/02/03,3
شادآباد.منطقه18,1398/02/04,4
شادآباد.منطقه18,1398/02/05,5
شادآباد.منطقه18,1398/02/06,4
شادآباد.منطقه18,1398/02/07,4
شادآباد.منطقه18,1398/02/08,6
شادآباد.منطقه18,1398/02/09,4
شادآباد.منطقه18,1398/02/10,5
شادآباد.منطقه18,1398/02/11,7
شادآباد.منطقه18,1398/02/12,5
شادآباد.منطقه18,1398/02/13,3
شادآباد.منطقه18,1398/02/14,6
شادآباد.منطقه18,1398/02/15,4
شادآباد.منطقه18,1398/02/16,5
شادآباد.منطقه18,1398/02/17,5
شادآباد.منطقه18,1398/02/18,4
شادآباد.منطقه18,1398/02/19,5
شادآباد.منطقه18,1398/02/20,2
شادآباد.منطقه18,1398/02/21,5
شادآباد.منطقه18,1398/02/22,7
شادآباد.منطقه18,1398/02/23,6
شادآباد.منطقه18,1398/02/24,6
شادآباد.منطقه18,1398/02/25,5
شادآباد.منطقه18,1398/02/26,5
شادآباد.منطقه18,1398/02/27,6
شادآباد.منطقه18,1398/02/28,6
شادآباد.منطقه18,1398/02/29,6
شادآباد.منطقه18,1398/02/30,3
شادآباد.منطقه18,1398/02/31,6
