ایستگاه,تاریخ,SO2 ppb
شهرداری.منطقه16,1397/10/11,5
شهرداری.منطقه16,1397/10/12,16
شهرداری.منطقه16,1397/10/13,8
شهرداری.منطقه16,1397/10/14,10
شهرداری.منطقه16,1397/10/15,12
شهرداری.منطقه16,1397/10/16,9
شهرداری.منطقه16,1397/10/17,12
شهرداری.منطقه16,1397/10/18,10
شهرداری.منطقه16,1397/10/19,12
شهرداری.منطقه16,1397/10/20,10
شهرداری.منطقه16,1397/10/21,15
شهرداری.منطقه16,1397/10/22,10
شهرداری.منطقه16,1397/10/23,12
شهرداری.منطقه16,1397/10/24,8
شهرداری.منطقه16,1397/10/25,14
شهرداری.منطقه16,1397/10/26,13
شهرداری.منطقه16,1397/10/27,9
شهرداری.منطقه16,1397/10/28,8
شهرداری.منطقه16,1397/10/29,11
شهرداری.منطقه16,1397/10/30,12
شهرداری.منطقه16,1397/11/01,10
شهرداری.منطقه16,1397/11/02,16
شهرداری.منطقه16,1397/11/03,19
شهرداری.منطقه16,1397/11/04,14
شهرداری.منطقه16,1397/11/05,11
شهرداری.منطقه16,1397/11/06,11
شهرداری.منطقه16,1397/11/07,10
شهرداری.منطقه16,1397/11/08,6
شهرداری.منطقه16,1397/11/09,8
شهرداری.منطقه16,1397/11/10,12
شهرداری.منطقه16,1397/11/11,14
شهرداری.منطقه16,1397/11/12,6
شهرداری.منطقه16,1397/11/13,8
شهرداری.منطقه16,1397/11/14,4
شهرداری.منطقه16,1397/11/15,16
شهرداری.منطقه16,1397/11/16,11
شهرداری.منطقه16,1397/11/17,13
شهرداری.منطقه16,1397/11/18,13
شهرداری.منطقه16,1397/11/19,14
شهرداری.منطقه16,1397/11/20,11
شهرداری.منطقه16,1397/11/21,10
شهرداری.منطقه16,1397/11/22,5
شهرداری.منطقه16,1397/11/23,11
شهرداری.منطقه16,1397/11/24,19
شهرداری.منطقه16,1397/11/25,15
شهرداری.منطقه16,1397/11/26,9
شهرداری.منطقه16,1397/11/27,8
شهرداری.منطقه16,1397/11/28,
شهرداری.منطقه16,1397/11/29,18
شهرداری.منطقه16,1397/11/30,15
شهرداری.منطقه16,1397/12/01,12
شهرداری.منطقه16,1397/12/02,
شهرداری.منطقه16,1397/12/03,
شهرداری.منطقه16,1397/12/04,4
شهرداری.منطقه16,1397/12/05,5
شهرداری.منطقه16,1397/12/06,3
شهرداری.منطقه16,1397/12/07,4
شهرداری.منطقه16,1397/12/08,
شهرداری.منطقه16,1397/12/09,2
شهرداری.منطقه16,1397/12/10,2
شهرداری.منطقه16,1397/12/11,3
شهرداری.منطقه16,1397/12/12,4
شهرداری.منطقه16,1397/12/13,7
شهرداری.منطقه16,1397/12/14,4
شهرداری.منطقه16,1397/12/15,6
شهرداری.منطقه16,1397/12/16,4
شهرداری.منطقه16,1397/12/17,3
شهرداری.منطقه16,1397/12/18,2
شهرداری.منطقه16,1397/12/19,8
شهرداری.منطقه16,1397/12/20,9
شهرداری.منطقه16,1397/12/21,6
شهرداری.منطقه16,1397/12/22,8
شهرداری.منطقه16,1397/12/23,10
شهرداری.منطقه16,1397/12/24,4
شهرداری.منطقه16,1397/12/25,3
شهرداری.منطقه16,1397/12/26,22
شهرداری.منطقه16,1397/12/27,17
شهرداری.منطقه16,1397/12/28,17
شهرداری.منطقه16,1397/12/29,9
شهرداری.منطقه16,1398/01/01,2
شهرداری.منطقه16,1398/01/02,8
شهرداری.منطقه16,1398/01/03,6
شهرداری.منطقه16,1398/01/04,5
شهرداری.منطقه16,1398/01/05,2
شهرداری.منطقه16,1398/01/06,2
شهرداری.منطقه16,1398/01/07,2
شهرداری.منطقه16,1398/01/08,2
شهرداری.منطقه16,1398/01/09,2
شهرداری.منطقه16,1398/01/10,2
شهرداری.منطقه16,1398/01/11,2
شهرداری.منطقه16,1398/01/12,2
شهرداری.منطقه16,1398/01/13,2
شهرداری.منطقه16,1398/01/14,2
شهرداری.منطقه16,1398/01/15,
شهرداری.منطقه16,1398/01/16,
شهرداری.منطقه16,1398/01/17,
شهرداری.منطقه16,1398/01/18,
شهرداری.منطقه16,1398/01/19,
شهرداری.منطقه16,1398/01/20,
شهرداری.منطقه16,1398/01/21,
شهرداری.منطقه16,1398/01/22,
شهرداری.منطقه16,1398/01/23,
شهرداری.منطقه16,1398/01/24,
شهرداری.منطقه16,1398/01/25,
شهرداری.منطقه16,1398/01/26,
شهرداری.منطقه16,1398/01/27,
شهرداری.منطقه16,1398/01/28,
شهرداری.منطقه16,1398/01/29,
شهرداری.منطقه16,1398/01/30,
شهرداری.منطقه16,1398/01/31,
شهرداری.منطقه16,1398/02/01,
شهرداری.منطقه16,1398/02/02,
شهرداری.منطقه16,1398/02/03,
شهرداری.منطقه16,1398/02/04,
شهرداری.منطقه16,1398/02/05,
شهرداری.منطقه16,1398/02/06,
شهرداری.منطقه16,1398/02/07,
شهرداری.منطقه16,1398/02/08,
شهرداری.منطقه16,1398/02/09,
شهرداری.منطقه16,1398/02/10,
شهرداری.منطقه16,1398/02/11,
شهرداری.منطقه16,1398/02/12,
شهرداری.منطقه16,1398/02/13,
شهرداری.منطقه16,1398/02/14,
شهرداری.منطقه16,1398/02/15,
شهرداری.منطقه16,1398/02/16,
شهرداری.منطقه16,1398/02/17,
شهرداری.منطقه16,1398/02/18,
شهرداری.منطقه16,1398/02/19,
شهرداری.منطقه16,1398/02/20,
شهرداری.منطقه16,1398/02/21,
شهرداری.منطقه16,1398/02/22,
شهرداری.منطقه16,1398/02/23,
شهرداری.منطقه16,1398/02/24,
شهرداری.منطقه16,1398/02/25,
شهرداری.منطقه16,1398/02/26,
شهرداری.منطقه16,1398/02/27,
شهرداری.منطقه16,1398/02/28,
شهرداری.منطقه16,1398/02/29,
شهرداری.منطقه16,1398/02/30,
شهرداری.منطقه16,1398/02/31,
شهرداری.منطقه16,1398/03/01,
شهرداری.منطقه16,1398/03/02,
شهرداری.منطقه16,1398/03/03,
شهرداری.منطقه16,1398/03/04,
شهرداری.منطقه16,1398/03/05,
شهرداری.منطقه16,1398/03/06,
شهرداری.منطقه16,1398/03/07,
شهرداری.منطقه16,1398/03/08,
شهرداری.منطقه16,1398/03/09,
شهرداری.منطقه16,1398/03/10,
شهرداری.منطقه16,1398/03/11,
شهرداری.منطقه16,1398/03/12,
شهرداری.منطقه16,1398/03/13,
شهرداری.منطقه16,1398/03/14,
شهرداری.منطقه16,1398/03/15,
شهرداری.منطقه16,1398/03/16,
شهرداری.منطقه16,1398/03/17,
شهرداری.منطقه16,1398/03/18,
شهرداری.منطقه16,1398/03/19,
شهرداری.منطقه16,1398/03/20,
شهرداری.منطقه16,1398/03/21,
شهرداری.منطقه16,1398/03/22,
شهرداری.منطقه16,1398/03/23,
شهرداری.منطقه16,1398/03/24,
شهرداری.منطقه16,1398/03/25,
شهرداری.منطقه16,1398/03/26,
شهرداری.منطقه16,1398/03/27,
شهرداری.منطقه16,1398/03/28,
شهرداری.منطقه16,1398/03/29,
شهرداری.منطقه16,1398/03/30,
شهرداری.منطقه16,1398/03/31,
شهرداری.منطقه16,1398/04/01,
شهرداری.منطقه16,1398/04/02,
شهرداری.منطقه16,1398/04/03,
شهرداری.منطقه16,1398/04/04,
شهرداری.منطقه16,1398/04/05,
شهرداری.منطقه16,1398/04/06,
شهرداری.منطقه16,1398/04/07,
شهرداری.منطقه16,1398/04/08,
شهرداری.منطقه16,1398/04/09,
شهرداری.منطقه16,1398/04/10,
شهرداری.منطقه16,1398/04/11,
شهرداری.منطقه16,1398/04/12,
شهرداری.منطقه16,1398/04/13,
شهرداری.منطقه16,1398/04/14,
شهرداری.منطقه16,1398/04/15,
شهرداری.منطقه16,1398/04/16,
شهرداری.منطقه16,1398/04/17,
شهرداری.منطقه16,1398/04/18,
شهرداری.منطقه16,1398/04/19,
شهرداری.منطقه16,1398/04/20,
شهرداری.منطقه16,1398/04/21,
شهرداری.منطقه16,1398/04/22,
شهرداری.منطقه16,1398/04/23,
شهرداری.منطقه16,1398/04/24,
شهرداری.منطقه16,1398/04/25,
شهرداری.منطقه16,1398/06/04,
شهرداری.منطقه16,1398/06/05,
شهرداری.منطقه16,1398/06/06,
شهرداری.منطقه16,1398/06/07,
شهرداری.منطقه16,1398/06/08,
شهرداری.منطقه16,1398/06/09,
شهرداری.منطقه16,1398/06/10,
شهرداری.منطقه16,1398/06/11,
شهرداری.منطقه16,1398/06/12,
شهرداری.منطقه16,1398/06/13,
شهرداری.منطقه16,1398/06/14,
شهرداری.منطقه16,1398/06/15,
شهرداری.منطقه16,1398/06/16,
شهرداری.منطقه16,1398/06/17,
شهرداری.منطقه16,1398/06/18,
شهرداری.منطقه16,1398/06/19,
شهرداری.منطقه16,1398/06/20,
شهرداری.منطقه16,1398/06/21,
شهرداری.منطقه16,1398/06/22,
شهرداری.منطقه16,1398/06/23,
شهرداری.منطقه16,1398/06/24,
شهرداری.منطقه16,1398/06/25,
شهرداری.منطقه16,1398/06/26,
شهرداری.منطقه16,1398/06/27,
شهرداری.منطقه16,1398/06/28,
شهرداری.منطقه16,1398/06/29,
شهرداری.منطقه16,1398/06/30,
شهرداری.منطقه16,1398/06/31,
شهرداری.منطقه16,1398/07/01,
شهرداری.منطقه16,1398/07/02,
شهرداری.منطقه16,1398/07/03,
شهرداری.منطقه16,1398/07/04,
شهرداری.منطقه16,1398/07/05,
شهرداری.منطقه16,1398/07/06,
شهرداری.منطقه16,1398/07/07,
شهرداری.منطقه16,1398/07/08,
شهرداری.منطقه16,1398/07/09,
شهرداری.منطقه16,1398/07/10,
شهرداری.منطقه16,1398/07/11,
شهرداری.منطقه16,1398/07/12,
شهرداری.منطقه16,1398/07/13,
شهرداری.منطقه16,1398/07/14,
شهرداری.منطقه16,1398/07/15,
شهرداری.منطقه16,1398/07/16,
شهرداری.منطقه16,1398/07/17,
شهرداری.منطقه16,1398/07/18,
شهرداری.منطقه16,1398/07/19,
شهرداری.منطقه16,1398/07/20,
شهرداری.منطقه16,1398/07/21,
شهرداری.منطقه16,1398/07/22,
شهرداری.منطقه16,1398/07/23,
شهرداری.منطقه16,1398/07/24,
شهرداری.منطقه16,1398/07/25,
شهرداری.منطقه16,1398/07/26,
شهرداری.منطقه16,1398/07/27,
شهرداری.منطقه16,1398/07/28,
شهرداری.منطقه16,1398/07/29,
شهرداری.منطقه16,1398/07/30,
شهرداری.منطقه16,1398/08/01,
شهرداری.منطقه16,1398/08/02,
شهرداری.منطقه16,1398/08/03,
شهرداری.منطقه16,1398/08/04,
شهرداری.منطقه16,1398/08/05,
شهرداری.منطقه16,1398/08/06,
شهرداری.منطقه16,1398/08/07,
شهرداری.منطقه16,1398/08/08,
شهرداری.منطقه16,1398/08/09,
شهرداری.منطقه16,1398/08/10,
شهرداری.منطقه16,1398/08/11,
شهرداری.منطقه16,1398/08/12,
شهرداری.منطقه16,1398/08/13,
شهرداری.منطقه16,1398/08/14,
شهرداری.منطقه16,1398/08/15,
شهرداری.منطقه16,1398/08/16,
شهرداری.منطقه16,1398/08/17,
شهرداری.منطقه16,1398/08/18,
شهرداری.منطقه16,1398/08/19,
شهرداری.منطقه16,1398/08/20,
شهرداری.منطقه16,1398/08/21,
شهرداری.منطقه16,1398/08/22,
شهرداری.منطقه16,1398/08/23,
شهرداری.منطقه16,1398/08/24,
شهرداری.منطقه16,1398/08/25,
شهرداری.منطقه16,1398/08/26,
شهرداری.منطقه16,1398/08/27,
شهرداری.منطقه16,1398/08/28,
شهرداری.منطقه16,1398/08/29,
شهرداری.منطقه16,1398/08/30,
شهرداری.منطقه16,1398/09/01,
شهرداری.منطقه16,1398/09/02,
شهرداری.منطقه16,1398/09/03,
شهرداری.منطقه16,1398/09/04,
شهرداری.منطقه16,1398/09/05,
شهرداری.منطقه16,1398/09/06,
شهرداری.منطقه16,1398/09/07,
شهرداری.منطقه16,1398/09/08,
شهرداری.منطقه16,1398/09/09,
شهرداری.منطقه16,1398/09/10,
شهرداری.منطقه16,1398/09/11,
شهرداری.منطقه16,1398/09/12,
شهرداری.منطقه16,1398/09/13,
شهرداری.منطقه16,1398/09/14,
شهرداری.منطقه16,1398/09/15,
شهرداری.منطقه16,1398/09/16,
شهرداری.منطقه16,1398/09/17,
شهرداری.منطقه16,1398/09/18,
شهرداری.منطقه16,1398/09/19,
شهرداری.منطقه16,1398/09/20,
شهرداری.منطقه16,1398/09/21,
شهرداری.منطقه16,1398/09/22,
شهرداری.منطقه16,1398/09/23,
شهرداری.منطقه16,1398/09/24,
