ایستگاه,تاریخ,SO2 ppb
شریف.منطقه2,1397/10/11,5
شریف.منطقه2,1397/10/12,11
شریف.منطقه2,1397/10/13,6
شریف.منطقه2,1397/10/14,5
شریف.منطقه2,1397/10/15,10
شریف.منطقه2,1397/10/16,9
شریف.منطقه2,1397/10/17,6
شریف.منطقه2,1397/10/18,6
شریف.منطقه2,1397/10/19,6
شریف.منطقه2,1397/10/20,4
شریف.منطقه2,1397/10/21,9
شریف.منطقه2,1397/10/22,7
شریف.منطقه2,1397/10/23,12
شریف.منطقه2,1397/10/24,10
شریف.منطقه2,1397/10/25,8
شریف.منطقه2,1397/10/26,11
شریف.منطقه2,1397/10/27,4
شریف.منطقه2,1397/10/28,3
شریف.منطقه2,1397/10/29,6
شریف.منطقه2,1397/10/30,9
شریف.منطقه2,1397/11/01,9
شریف.منطقه2,1397/11/02,8
شریف.منطقه2,1397/11/03,11
شریف.منطقه2,1397/11/04,10
شریف.منطقه2,1397/11/05,7
شریف.منطقه2,1397/11/06,5
شریف.منطقه2,1397/11/07,11
شریف.منطقه2,1397/11/08,6
شریف.منطقه2,1397/11/09,2
شریف.منطقه2,1397/11/10,7
شریف.منطقه2,1397/11/11,7
شریف.منطقه2,1397/11/12,4
شریف.منطقه2,1397/11/13,6
شریف.منطقه2,1397/11/14,4
شریف.منطقه2,1397/11/15,5
شریف.منطقه2,1397/11/16,6
شریف.منطقه2,1397/11/17,7
شریف.منطقه2,1397/11/18,10
شریف.منطقه2,1397/11/19,10
شریف.منطقه2,1397/11/20,8
شریف.منطقه2,1397/11/21,4
شریف.منطقه2,1397/11/22,4
شریف.منطقه2,1397/11/23,4
شریف.منطقه2,1397/11/24,7
شریف.منطقه2,1397/11/25,10
شریف.منطقه2,1397/11/26,8
شریف.منطقه2,1397/11/27,3
شریف.منطقه2,1397/11/28,4
شریف.منطقه2,1397/11/29,4
شریف.منطقه2,1397/11/30,6
شریف.منطقه2,1397/12/01,7
شریف.منطقه2,1397/12/02,9
شریف.منطقه2,1397/12/03,7
شریف.منطقه2,1397/12/04,5
شریف.منطقه2,1397/12/05,8
شریف.منطقه2,1397/12/06,6
شریف.منطقه2,1397/12/07,12
شریف.منطقه2,1397/12/08,6
شریف.منطقه2,1397/12/09,4
شریف.منطقه2,1397/12/10,3
شریف.منطقه2,1397/12/11,6
شریف.منطقه2,1397/12/12,6
