ایستگاه,تاریخ,SO2 ppb
تربیت.مدرس.منطقه6,1397/10/11,4
تربیت.مدرس.منطقه6,1397/10/12,8
تربیت.مدرس.منطقه6,1397/10/13,5
تربیت.مدرس.منطقه6,1397/10/14,4
تربیت.مدرس.منطقه6,1397/10/15,8
تربیت.مدرس.منطقه6,1397/10/16,8
تربیت.مدرس.منطقه6,1397/10/17,6
تربیت.مدرس.منطقه6,1397/10/18,5
تربیت.مدرس.منطقه6,1397/10/19,4
تربیت.مدرس.منطقه6,1397/10/20,4
تربیت.مدرس.منطقه6,1397/10/21,8
تربیت.مدرس.منطقه6,1397/10/22,6
تربیت.مدرس.منطقه6,1397/10/23,9
تربیت.مدرس.منطقه6,1397/10/24,6
تربیت.مدرس.منطقه6,1397/10/25,
تربیت.مدرس.منطقه6,1397/10/26,
تربیت.مدرس.منطقه6,1397/10/27,
تربیت.مدرس.منطقه6,1397/10/28,
تربیت.مدرس.منطقه6,1397/10/29,
تربیت.مدرس.منطقه6,1397/10/30,9
تربیت.مدرس.منطقه6,1397/11/01,4
تربیت.مدرس.منطقه6,1397/11/02,5
تربیت.مدرس.منطقه6,1397/11/03,7
تربیت.مدرس.منطقه6,1397/11/04,7
تربیت.مدرس.منطقه6,1397/11/05,5
تربیت.مدرس.منطقه6,1397/11/06,3
تربیت.مدرس.منطقه6,1397/11/07,8
تربیت.مدرس.منطقه6,1397/11/08,3
تربیت.مدرس.منطقه6,1397/11/09,1
تربیت.مدرس.منطقه6,1397/11/10,4
تربیت.مدرس.منطقه6,1397/11/11,5
تربیت.مدرس.منطقه6,1397/11/12,2
تربیت.مدرس.منطقه6,1397/11/13,3
تربیت.مدرس.منطقه6,1397/11/14,3
تربیت.مدرس.منطقه6,1397/11/15,3
تربیت.مدرس.منطقه6,1397/11/16,5
تربیت.مدرس.منطقه6,1397/11/17,6
تربیت.مدرس.منطقه6,1397/11/18,10
تربیت.مدرس.منطقه6,1397/11/19,13
تربیت.مدرس.منطقه6,1397/11/20,7
تربیت.مدرس.منطقه6,1397/11/21,3
تربیت.مدرس.منطقه6,1397/11/22,4
تربیت.مدرس.منطقه6,1397/11/23,3
تربیت.مدرس.منطقه6,1397/11/24,8
تربیت.مدرس.منطقه6,1397/11/25,10
تربیت.مدرس.منطقه6,1397/11/26,8
تربیت.مدرس.منطقه6,1397/11/27,2
تربیت.مدرس.منطقه6,1397/11/28,2
تربیت.مدرس.منطقه6,1397/11/29,4
تربیت.مدرس.منطقه6,1397/11/30,4
تربیت.مدرس.منطقه6,1397/12/01,4
تربیت.مدرس.منطقه6,1397/12/02,7
تربیت.مدرس.منطقه6,1397/12/03,4
تربیت.مدرس.منطقه6,1397/12/04,4
تربیت.مدرس.منطقه6,1397/12/05,5
